img,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
/games/boxart/full_1201752AmericaFrontccc.jpg,Overcooked! 2,NS,Simulation,Sold Out,Ghost Town Games,84.0,0.29,0.17,0.01,0.09,0.03,2018-08-07,2018-06-14
/games/boxart/full_8836742AmericaFrontccc.jpg,The Legend of Legacy,3DS,Role-Playing,Atlus,Cattle Call,60.0,0.29,0.14,0.11,0.02,0.02,2015-10-13,2018-05-29
/games/boxart/full_3328496AmericaFrontccc.jpg,WarioWare Gold,3DS,Misc,Nintendo,Intelligent Systems,81.0,0.28,0.11,0.13,0.03,0.01,2018-08-03,2018-11-18
/games/boxart/full_2488304AmericaFrontccc.jpg,Etrian Mystery Dungeon,3DS,Role-Playing,Atlus,Spike Chunsoft,76.0,0.28,0.11,0.14,0.01,0.01,2015-04-07,2018-07-26
/games/boxart/full_3944418AmericaFrontccc.jpg,The World Ends with You: Final Remix,NS,Role-Playing,Nintendo,Square Enix,74.0,0.27,0.14,0.03,0.08,0.02,2018-10-12,2019-03-30
/games/boxart/full_1637033AmericaFrontccc.png,Etrian Odyssey V: Beyond the Myth,3DS,Role-Playing,Atlus,Atlus,79.0,0.27,0.11,0.14,0.01,0.01,2017-10-17,2018-01-15
/games/boxart/full_245315AmericaFrontccc.jpg,Etrian Odyssey: Millennium Girl,3DS,Role-Playing,Atlus,Atlus,81.0,0.26,0.1,0.14,0.01,0.01,2013-10-01,2018-12-10
/games/boxart/full_9116862PALFrontccc.jpg,Stella Glow,3DS,Role-Playing,Atlus,imageepoch Inc.,75.0,0.26,0.17,0.06,0.01,0.02,2015-11-17,2018-05-30
/games/boxart/full_2467525AmericaFrontccc.jpg,Resident Evil: Revelations,X360,Shooter,Capcom,Capcom,74.0,0.26,0.12,0.02,0.1,0.02,2013-05-21,2018-03-16
/games/boxart/full_1568927AmericaFrontccc.jpg,Sonic Boom: Fire & Ice,3DS,Platform,Sega,Sanzaru Games,69.0,0.25,0.14,0.02,0.08,0.02,2016-09-27,2020-08-07
/games/boxart/full_7172459AmericaFrontccc.jpg,Spirit Camera: The Cursed Memoir,3DS,Action-Adventure,Nintendo,Tecmo Koei Games,57.0,0.25,0.15,0.06,0.02,0.02,2012-04-13,2018-08-30
/games/boxart/full_182104AmericaFrontccc.jpg,Game & Wario,WiiU,Party,Nintendo,Intelligent Systems,62.0,0.25,0.06,0.12,0.06,0.01,2013-06-23,2018-03-15
/games/boxart/full_1186848AmericaFrontccc.jpg,Sid Meier's Civilization VI,NS,Strategy,2K Games,Firaxis Games,94.0,0.25,0.12,0.01,0.11,0.02,2018-11-16,2018-12-19
/games/boxart/full_3855267AmericaFrontccc.jpg,Disney Epic Mickey 2: The Power of Two,WiiU,Platform,Disney Interactive Studios,Junction Point Studios,59.0,0.24,0.13,0.01,0.08,0.02,2012-11-18,2020-09-13
/games/boxart/full_3250221AmericaFrontccc.jpg,7th Dragon III Code: VFD,3DS,Role-Playing,Sega,Sega,75.0,0.24,0.06,0.13,0.04,0.01,2016-07-12,2018-04-20
/games/boxart/full_9792110AmericaFrontccc.jpg,Fuel,PS3,Racing,Codemasters,Asobo Studio,66.0,0.24,0.08,0.0,0.11,0.04,2009-06-02,2020-08-05
/games/boxart/full_9635827AmericaFrontccc.jpg,Risen 2: Dark Waters,PS3,Role-Playing,Deep Silver,Piranha Bytes,55.0,0.23,0.04,0.01,0.14,0.03,2012-07-31,2018-01-03
/games/boxart/full_5868631AmericaFrontccc.jpg,Attack on Titan 2,NS,Action,Koei Tecmo,Omega Force,70.0,0.23,0.12,0.08,0.02,0.02,2018-03-20,2018-03-30
/games/boxart/full_2679855AmericaFrontccc.png,Dragon Quest Builders: Revive Alefgard,NS,Role-Playing,Square Enix,Square Enix,80.0,0.22,0.07,0.07,0.07,0.01,2018-02-09,2018-02-04
/games/boxart/full_8558017AmericaFrontccc.jpg,Life Is Strange: Before the Storm,PS4,Adventure,Square Enix,Deck Nine,75.0,0.22,0.11,0.02,0.06,0.03,2018-03-06,2018-07-09
/games/boxart/full_9137764AmericaFrontccc.jpg,Resident Evil: Revelations,WiiU,Shooter,Capcom,Capcom,75.0,0.22,0.09,0.03,0.08,0.02,2013-05-21,2018-03-16
